step,mode,seed,x,y,z,speed,fuel,heat,pressure,suit,shield,criticality,pr,pr_norm,mle,law_cost,law_count,falsifiability,semantic_entropy,prediction_error,action_agency,goal_agency,coverage,state_density,ambiguity,compression_gain,godel_tokens,semantic_drift,delta_ep_min,active_laws,failure_state,zone_id,cell_pos
0,lander,42,100.61,67.53,0.0,5.089,99.89,5.02,25.0,0,0,0.2083,0.0176,0.0794,0.25,4.5,4,0.675,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.1176,1,0.9941,0.0625,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
1,lander,42,101.23,67.59,0.0,5.19,99.78,5.04,25.0,0,0,0.2083,0.0221,0.0993,0.25,4.5,4,0.675,2.0,0.5,1.0,1.0,0.0,1.0,0.5,0.2353,2,0.0,0.0625,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
2,lander,42,101.86,67.68,0.0,5.303,99.68,5.06,25.0,0,0,0.2083,0.0331,0.1489,0.25,4.5,4,0.675,2.0,0.5,1.0,1.0,0.0,1.0,0.5,0.3529,3,0.0,0.0625,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
3,lander,42,102.5,67.8,0.0,5.426,99.57,5.08,25.0,0,0,0.2083,0.0441,0.1985,0.25,4.5,4,0.675,2.0,0.5,1.0,1.0,0.0,1.0,0.5,0.4706,4,0.0,0.0625,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
4,lander,42,103.14,67.9,0.0,5.387,99.57,5.06,25.0,0,0,0.2083,0.0421,0.1896,0.25,4.5,4,0.675,2.5,0.5,0.8,0.8,0.0,1.0,0.5,0.5882,5,0.3242,0.0078,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
5,lander,42,103.78,67.97,0.0,5.354,99.57,5.04,25.0,0,0,0.2083,0.0403,0.1815,0.25,4.5,4,0.675,3.0,0.5,0.6667,0.6667,0.0,1.0,0.5,0.7059,6,0.0,0.0078,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
6,lander,42,104.41,68.03,0.0,5.329,99.57,5.02,25.0,0,0,0.2083,0.0387,0.1741,0.25,4.5,4,0.675,3.5,0.5,0.5714,0.5714,0.0,1.0,0.5,0.8235,7,0.3145,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
7,lander,42,105.05,68.05,0.0,5.311,99.57,5.0,25.0,0,0,0.2083,0.0372,0.1672,0.25,4.5,4,0.675,4.0,0.5,0.5,0.5,0.0,1.0,0.5,0.9412,8,0.0,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
8,lander,42,105.69,68.06,0.0,5.299,99.57,4.98,25.0,0,0,0.2083,0.0357,0.1608,0.25,4.5,4,0.675,4.5,0.5,0.4444,0.4444,0.0,1.0,0.5,1.0588,9,0.0,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
9,lander,42,106.33,68.09,0.0,5.39,99.46,5.0,25.0,0,0,0.2083,0.0464,0.209,0.25,4.5,4,0.675,4.0,0.5,0.5,0.5,0.0,1.0,0.5,1.1765,10,0.0,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
10,lander,42,106.99,68.16,0.0,5.491,99.35,5.02,25.0,0,0,0.2083,0.0572,0.2576,0.25,4.5,4,0.675,3.6667,0.5,0.5455,0.5455,0.0,1.0,0.5,1.2941,11,0.0,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
11,lander,42,107.65,68.25,0.0,5.603,99.24,5.04,25.0,0,0,0.2083,0.0681,0.3064,0.25,4.5,4,0.675,3.4286,0.5,0.5833,0.5833,0.0,1.0,0.5,1.4118,12,0.0,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
12,lander,42,108.33,68.38,0.0,5.725,99.14,5.06,25.0,0,0,0.2083,0.079,0.3554,0.25,4.5,4,0.675,3.25,0.5,0.6154,0.6154,0.0,1.0,0.5,1.5294,13,0.3145,0.0078,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
13,lander,42,109.0,68.48,0.0,5.686,99.14,5.04,25.0,0,0,0.2083,0.0774,0.3481,0.25,4.5,4,0.675,3.5,0.5,0.5714,0.5714,0.0,1.0,0.5,1.6471,14,0.3145,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
14,lander,42,109.68,68.56,0.0,5.653,99.14,5.02,25.0,0,0,0.2083,0.0758,0.3411,0.25,4.5,4,0.675,3.75,0.5,0.5333,0.5333,0.0,1.0,0.5,1.7647,15,0.0,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
15,lander,42,110.35,68.61,0.0,5.627,99.14,5.0,25.0,0,0,0.2083,0.0743,0.3344,0.25,4.5,4,0.675,4.0,0.5,0.5,0.5,0.0,1.0,0.5,1.8824,16,0.0,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
16,lander,42,111.02,68.64,0.0,5.608,99.14,4.98,25.0,0,0,0.2083,0.0729,0.3279,0.25,4.5,4,0.675,4.25,0.5,0.4706,0.4706,0.0,1.0,0.5,2.0,17,0.0,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
17,lander,42,111.69,68.65,0.0,5.596,99.14,4.96,25.0,0,0,0.2083,0.0715,0.3217,0.25,4.5,4,0.675,4.5,0.5,0.4444,0.4444,0.0,1.0,0.5,2.1176,18,0.0,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
18,lander,42,112.38,68.69,0.0,5.687,99.03,4.98,25.0,0,0,0.2083,0.0822,0.3697,0.25,4.5,4,0.675,4.2222,0.5,0.4737,0.4737,0.0,1.0,0.5,2.2353,19,0.0,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
19,lander,42,113.07,68.76,0.0,5.788,98.92,5.0,25.0,0,0,0.2083,0.0929,0.418,0.25,4.5,4,0.675,4.0,0.5,0.5,0.5,0.0,1.0,0.5,2.3529,20,0.0,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
20,lander,42,113.77,68.86,0.0,5.9,98.81,5.02,25.0,0,0,0.2083,0.1037,0.4664,0.25,4.5,4,0.675,3.8182,0.5,0.5238,0.5238,0.0,1.0,0.5,2.4706,21,0.0,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
21,lander,42,114.48,68.99,0.0,6.021,98.7,5.04,25.0,0,0,0.2083,0.1145,0.5151,0.25,4.5,4,0.675,3.6667,0.5,0.5455,0.5455,0.0,1.0,0.5,2.5882,22,0.0,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
22,lander,42,115.19,69.09,0.0,5.982,98.7,5.02,25.0,0,0,0.2083,0.1129,0.5082,0.25,4.5,4,0.675,3.8333,0.5,0.5217,0.5217,0.0,1.0,0.5,2.7059,23,0.0,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
23,lander,42,115.9,69.17,0.0,5.949,98.7,5.0,25.0,0,0,0.2083,0.1115,0.5015,0.25,4.5,4,0.675,4.0,0.5,0.5,0.5,0.0,1.0,0.5,2.8235,24,0.0,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
24,lander,42,116.61,69.23,0.0,5.923,98.7,4.98,25.0,0,0,0.2083,0.11,0.495,0.25,4.5,4,0.675,4.1667,0.5,0.48,0.48,0.0,1.0,0.5,2.9412,25,0.0,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
25,lander,42,117.31,69.27,0.0,5.903,98.7,4.96,25.0,0,0,0.2083,0.1086,0.4887,0.25,4.5,4,0.675,4.3333,0.5,0.4615,0.4615,0.0,1.0,0.5,3.0588,26,0.0,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
26,lander,42,118.02,69.28,0.0,5.889,98.7,4.94,25.0,0,0,0.2083,0.1072,0.4825,0.25,4.5,4,0.675,4.5,0.5,0.4444,0.4444,0.0,1.0,0.5,3.1765,27,0.0,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
27,lander,42,118.74,69.32,0.0,5.981,98.6,4.96,25.0,0,0,0.2083,0.1179,0.5305,0.25,4.5,4,0.675,4.3077,0.5,0.4643,0.4643,0.0,1.0,0.5,3.2941,28,0.0,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
28,lander,42,119.46,69.4,0.0,6.082,98.49,4.98,25.0,0,0,0.2083,0.1286,0.5786,0.25,4.5,4,0.675,4.1429,0.5,0.4828,0.4828,0.0,1.0,0.5,3.4118,29,0.0,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
29,lander,42,120.2,69.5,0.0,6.193,98.38,5.0,25.0,0,0,0.2083,0.1393,0.6269,0.25,4.5,4,0.675,4.0,0.5,0.5,0.5,0.0,1.0,0.5,3.5294,30,0.0,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
30,lander,42,120.95,69.63,0.0,6.314,98.27,5.02,25.0,0,0,0.2083,0.1501,0.6754,0.25,4.5,4,0.675,3.875,0.5,0.5161,0.5161,0.0,1.0,0.5,3.6471,31,0.0,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
31,lander,42,121.69,69.74,0.0,6.275,98.27,5.0,25.0,0,0,0.2083,0.1486,0.6687,0.25,4.5,4,0.675,4.0,0.5,0.5,0.5,0.0,1.0,0.5,3.7647,32,0.0,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
32,lander,42,122.43,69.83,0.0,6.242,98.27,4.98,25.0,0,0,0.2083,0.1472,0.6622,0.25,4.5,4,0.675,4.125,0.5,0.4848,0.4848,0.0,1.0,0.5,3.8824,33,0.0,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
33,lander,42,123.18,69.89,0.0,6.215,98.27,4.96,25.0,0,0,0.2083,0.1457,0.6558,0.25,4.5,4,0.675,4.25,0.5,0.4706,0.4706,0.0,1.0,0.5,4.0,34,0.0,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
34,lander,42,123.92,69.93,0.0,6.194,98.27,4.94,25.0,0,0,0.2083,0.1443,0.6495,0.25,4.5,4,0.675,4.375,0.5,0.4571,0.4571,0.0,1.0,0.5,4.1176,35,0.0,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
35,lander,42,124.66,69.95,0.0,6.18,98.27,4.92,25.0,0,0,0.2083,0.143,0.6433,0.25,4.5,4,0.675,4.5,0.5,0.4444,0.4444,0.0,1.0,0.5,4.2353,36,0.0,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
36,lander,42,125.42,69.99,0.0,6.355,98.16,4.94,25.0,0,0,0.2083,0.1536,0.6913,0.25,4.5,4,0.675,4.3529,0.5,0.4595,0.4595,0.0,1.0,0.5,4.3529,37,0.0,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
37,lander,42,126.2,70.06,0.0,6.539,98.06,4.96,25.0,0,0,0.2083,0.1643,0.7394,0.25,4.5,4,0.675,4.2222,0.5,0.4737,0.4737,0.0,1.0,0.5,4.4706,38,0.0,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
38,lander,42,127.01,70.16,0.0,6.728,97.95,4.98,25.0,0,0,0.2083,0.175,0.7876,0.25,4.5,4,0.675,4.1053,0.5,0.4872,0.4872,0.0,1.0,0.5,4.5882,39,0.0,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
39,lander,42,127.83,70.28,0.0,6.924,97.84,5.0,25.0,0,0,0.2083,0.1858,0.8359,0.25,4.5,4,0.675,4.0,0.5,0.5,0.5,0.0,1.0,0.5,4.7059,40,0.0,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
40,lander,42,128.65,70.38,0.0,6.889,97.84,4.98,25.0,0,0,0.2083,0.1843,0.8294,0.25,4.5,4,0.675,4.1,0.5,0.4878,0.4878,0.0,1.0,0.5,4.8235,41,0.0,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
41,lander,42,129.47,70.46,0.0,6.86,97.84,4.96,25.0,0,0,0.2083,0.1829,0.8229,0.25,4.5,4,0.675,4.2,0.5,0.4762,0.4762,0.0,1.0,0.5,4.9412,42,0.0,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
42,lander,42,130.29,70.51,0.0,6.836,97.84,4.94,25.0,0,0,0.2083,0.1815,0.8166,0.25,4.5,4,0.675,4.3,0.5,0.4651,0.4651,0.0,1.0,0.5,5.0588,43,0.0,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
43,lander,42,131.1,70.54,0.0,6.817,97.84,4.92,25.0,0,0,0.2083,0.1801,0.8103,0.25,4.5,4,0.675,4.4,0.5,0.4545,0.4545,0.0,1.0,0.5,5.1765,44,0.0,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
44,lander,42,131.92,70.55,0.0,6.805,97.84,4.9,25.0,0,0,0.2083,0.1787,0.8042,0.25,4.5,4,0.675,4.5,0.5,0.4444,0.4444,0.0,1.0,0.5,5.2941,45,0.0,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
45,lander,42,132.76,70.59,0.0,6.977,97.73,4.92,25.0,0,0,0.2083,0.1894,0.8521,0.25,4.5,4,0.675,4.381,0.5,0.4565,0.4565,0.0,1.0,0.5,5.4118,46,0.0,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
46,lander,42,133.61,70.65,0.0,7.155,97.62,4.94,25.0,0,0,0.2083,0.2,0.9001,0.25,4.5,4,0.675,4.2727,0.5,0.4681,0.4681,0.0,1.0,0.5,5.5294,47,0.0,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
47,lander,42,134.49,70.74,0.0,7.34,97.52,4.96,25.0,0,0,0.2083,0.2107,0.9483,0.25,4.5,4,0.675,4.1739,0.5,0.4792,0.4792,0.0,1.0,0.5,5.6471,48,0.0,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
48,lander,42,135.38,70.85,0.0,7.531,97.41,4.98,25.0,0,0,0.2083,0.2215,0.9965,0.25,4.5,4,0.675,4.0833,0.5,0.4898,0.4898,0.0,1.0,0.5,5.7647,49,0.0,0.0234,"thrust_gravity_drag,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
0,asteroids,42,80.61,67.53,0.0,5.057,99.96,5.01,25.0,0,0,0.2083,0.0084,0.0435,0.2,5.2,5,0.8,0.0,0.0,1.0,0.5,0.0,1.0,0.0,0.1087,1,0.9941,0.0332,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
1,asteroids,42,81.22,67.59,0.0,5.125,99.92,5.01,25.0,0,0,0.2083,0.0054,0.0283,0.2,5.2,5,0.8,7.5,0.5,1.0,0.3333,0.0,1.0,0.5,0.2174,2,0.3555,0.0762,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
2,asteroids,42,81.84,67.67,0.0,5.203,99.87,5.02,25.0,0,0,0.2083,0.0061,0.0318,0.2,5.2,5,0.8,10.0,0.5,1.0,0.25,0.0,1.0,0.5,0.3261,3,0.2832,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
3,asteroids,42,82.46,67.79,0.0,5.291,99.83,5.03,25.0,0,0,0.2083,0.0065,0.0339,0.2,5.2,5,0.8,12.5,0.5,1.0,0.2,0.0,1.0,0.5,0.4348,4,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
4,asteroids,42,83.09,67.9,0.0,5.285,99.83,5.01,25.0,0,0,0.2083,0.0068,0.0353,0.2,5.2,5,0.8,15.0,0.5,0.8333,0.1667,0.0,1.0,0.5,0.5435,5,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
5,asteroids,42,83.71,68.01,0.0,5.28,99.83,4.99,25.0,0,0,0.2083,0.007,0.0364,0.2,5.2,5,0.8,17.5,0.5,0.7143,0.1429,0.0,1.0,0.5,0.6522,6,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
6,asteroids,42,84.33,68.12,0.0,5.274,99.83,4.97,25.0,0,0,0.2083,0.0071,0.0371,0.2,5.2,5,0.8,20.0,0.5,0.625,0.125,0.0,1.0,0.5,0.7609,7,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
7,asteroids,42,84.96,68.23,0.0,5.268,99.83,4.95,25.0,0,0,0.2083,0.0073,0.0377,0.2,5.2,5,0.8,22.5,0.5,0.5556,0.1111,0.0,1.0,0.5,0.8696,8,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
8,asteroids,42,85.58,68.33,0.0,5.261,99.83,4.93,25.0,0,0,0.2083,0.0073,0.0382,0.2,5.2,5,0.8,25.0,0.5,0.5,0.1,0.0,1.0,0.5,0.9783,9,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
9,asteroids,42,86.2,68.43,0.0,5.255,99.83,4.9,25.0,0,0,0.2083,0.0074,0.0386,0.2,5.2,5,0.8,27.5,0.5,0.4545,0.0909,0.0,1.0,0.5,1.087,10,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
10,asteroids,42,86.82,68.53,0.0,5.248,99.83,4.88,25.0,0,0,0.2083,0.0075,0.0389,0.2,5.2,5,0.8,30.0,0.5,0.4167,0.0833,0.0,1.0,0.5,1.1957,11,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
11,asteroids,42,87.45,68.66,0.0,5.338,99.79,4.89,25.0,0,0,0.2083,0.0075,0.0392,0.2,5.2,5,0.8,32.5,0.5,0.4615,0.0769,0.0,1.0,0.5,1.3043,12,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
12,asteroids,42,88.08,68.82,0.0,5.438,99.75,4.9,25.0,0,0,0.2083,0.0076,0.0394,0.2,5.2,5,0.8,35.0,0.5,0.5,0.0714,0.0,1.0,0.5,1.413,13,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
13,asteroids,42,88.72,69.01,0.0,5.548,99.71,4.91,25.0,0,0,0.2083,0.0076,0.0396,0.2,5.2,5,0.8,37.5,0.5,0.5333,0.0667,0.0,1.0,0.5,1.5217,14,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
14,asteroids,42,89.36,69.23,0.0,5.666,99.66,4.92,25.0,0,0,0.2083,0.0076,0.0398,0.2,5.2,5,0.8,40.0,0.5,0.5625,0.0625,0.0,1.0,0.5,1.6304,15,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
15,asteroids,42,90.01,69.45,0.0,5.656,99.66,4.9,25.0,0,0,0.2083,0.0077,0.0399,0.2,5.2,5,0.8,42.5,0.5,0.5294,0.0588,0.0,1.0,0.5,1.7391,16,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
16,asteroids,42,90.65,69.66,0.0,5.647,99.66,4.88,25.0,0,0,0.2083,0.0077,0.0401,0.2,5.2,5,0.8,45.0,0.5,0.5,0.0556,0.0,1.0,0.5,1.8478,17,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
17,asteroids,42,91.29,69.87,0.0,5.638,99.66,4.86,25.0,0,0,0.2083,0.0077,0.0402,0.2,5.2,5,0.8,47.5,0.5,0.4737,0.0526,0.0,1.0,0.5,1.9565,18,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
18,asteroids,42,91.93,70.08,0.0,5.629,99.66,4.83,25.0,0,0,0.2083,0.0077,0.0403,0.2,5.2,5,0.8,50.0,0.5,0.45,0.05,0.0,1.0,0.5,2.0652,19,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
19,asteroids,42,92.58,70.29,0.0,5.62,99.66,4.82,25.0,0,0,0.2083,0.0078,0.0404,0.2,5.2,5,0.8,52.5,0.5,0.4286,0.0476,0.0,1.0,0.5,2.1739,20,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
20,asteroids,42,93.22,70.5,0.0,5.611,99.66,4.8,25.0,0,0,0.2083,0.0078,0.0405,0.2,5.2,5,0.8,55.0,0.5,0.4091,0.0455,0.0,1.0,0.5,2.2826,21,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
21,asteroids,42,93.86,70.71,0.0,5.603,99.66,4.78,25.0,0,0,0.2083,0.0078,0.0406,0.2,5.2,5,0.8,57.5,0.5,0.3913,0.0435,0.0,1.0,0.5,2.3913,22,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
22,asteroids,42,94.5,70.95,0.0,5.728,99.62,4.78,25.0,0,0,0.2083,0.0078,0.0407,0.2,5.2,5,0.8,60.0,0.5,0.4167,0.0417,0.0,1.0,0.5,2.5,23,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
23,asteroids,42,95.15,71.22,0.0,5.861,99.58,4.8,25.0,0,0,0.2083,0.0078,0.0407,0.2,5.2,5,0.8,62.5,0.5,0.44,0.04,0.0,1.0,0.5,2.6087,24,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
24,asteroids,42,95.81,71.51,0.0,6.002,99.54,4.8,25.0,0,0,0.2083,0.0157,0.0816,0.2,5.2,5,0.8,32.5,0.5,0.4615,0.0769,0.0,1.0,0.5,2.7174,25,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
25,asteroids,42,96.47,71.84,0.0,6.151,99.5,4.81,25.0,0,0,0.2083,0.0236,0.1225,0.2,5.2,5,0.8,22.5,0.5,0.4815,0.1111,0.0,1.0,0.5,2.8261,26,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
26,asteroids,42,97.13,72.17,0.0,6.143,99.5,4.79,25.0,0,0,0.2083,0.0236,0.1227,0.2,5.2,5,0.8,23.3333,0.5,0.4643,0.1071,0.0,1.0,0.5,2.9348,27,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
27,asteroids,42,97.79,72.49,0.0,6.134,99.5,4.77,25.0,0,0,0.2083,0.0236,0.1229,0.2,5.2,5,0.8,24.1667,0.5,0.4483,0.1034,0.0,1.0,0.5,3.0435,28,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
