step,mode,seed,x,y,z,speed,fuel,heat,pressure,suit,shield,criticality,pr,pr_norm,mle,law_cost,law_count,falsifiability,semantic_entropy,prediction_error,action_agency,goal_agency,coverage,state_density,ambiguity,compression_gain,godel_tokens,semantic_drift,delta_ep_min,active_laws,failure_state,zone_id,cell_pos
28,asteroids,42,98.45,72.82,0.0,6.126,99.5,4.75,25.0,0,0,0.2083,0.0237,0.123,0.2,5.2,5,0.8,25.0,0.5,0.4333,0.1,0.0,1.0,0.5,3.1522,29,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
29,asteroids,42,99.11,73.14,0.0,6.119,99.5,4.73,25.0,0,0,0.2083,0.0237,0.1231,0.2,5.2,5,0.8,25.8333,0.5,0.4194,0.0968,0.0,1.0,0.5,3.2609,30,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
30,asteroids,42,99.77,73.46,0.0,6.111,99.5,4.71,25.0,0,0,0.2083,0.0237,0.1233,0.2,5.2,5,0.8,26.6667,0.5,0.4062,0.0938,0.0,1.0,0.5,3.3696,31,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
31,asteroids,42,100.43,73.78,0.0,6.104,99.5,4.7,25.0,0,0,0.2083,0.0237,0.1234,0.2,5.2,5,0.8,27.5,0.5,0.3939,0.0909,0.0,1.0,0.5,3.4783,32,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
32,asteroids,42,101.08,74.11,0.0,6.097,99.5,4.67,25.0,0,0,0.2083,0.0308,0.16,0.2,5.2,5,0.8,21.875,0.5,0.4,0.1143,0.0,1.0,0.5,3.587,33,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
33,asteroids,42,101.74,74.46,0.0,6.21,99.45,4.68,25.0,0,0,0.2083,0.0385,0.2003,0.2,5.2,5,0.8,18.0,0.5,0.4167,0.1389,0.0,1.0,0.5,3.6957,34,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
34,asteroids,42,102.4,74.84,0.0,6.332,99.41,4.69,25.0,0,0,0.2083,0.0463,0.2407,0.2,5.2,5,0.8,15.4167,0.5,0.4324,0.1622,0.0,1.0,0.5,3.8043,35,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
35,asteroids,42,103.05,75.25,0.0,6.463,99.37,4.71,25.0,0,0,0.2083,0.0541,0.2813,0.2,5.2,5,0.8,13.5714,0.5,0.4474,0.1842,0.0,1.0,0.5,3.913,36,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
36,asteroids,42,103.71,75.7,0.0,6.601,99.33,4.72,25.0,0,0,0.2083,0.0619,0.3219,0.2,5.2,5,0.8,12.1875,0.5,0.4615,0.2051,0.0,1.0,0.5,4.0217,37,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
37,asteroids,42,104.36,76.14,0.0,6.594,99.33,4.69,25.0,0,0,0.2083,0.062,0.3224,0.2,5.2,5,0.8,12.5,0.5,0.45,0.2,0.0,1.0,0.5,4.1304,38,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
38,asteroids,42,105.02,76.59,0.0,6.588,99.33,4.67,25.0,0,0,0.2083,0.0621,0.3228,0.2,5.2,5,0.8,12.8125,0.5,0.439,0.1951,0.0,1.0,0.5,4.2391,39,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
39,asteroids,42,105.67,77.03,0.0,6.582,99.33,4.65,25.0,0,0,0.2083,0.0622,0.3232,0.2,5.2,5,0.8,13.125,0.5,0.4286,0.1905,0.0,1.0,0.5,4.3478,40,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
40,asteroids,42,106.32,77.47,0.0,6.577,99.33,4.64,25.0,0,0,0.2083,0.0622,0.3236,0.2,5.2,5,0.8,13.4375,0.5,0.4186,0.186,0.0,1.0,0.5,4.4565,41,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
41,asteroids,42,106.98,77.91,0.0,6.571,99.33,4.62,25.0,0,0,0.2083,0.0623,0.3239,0.2,5.2,5,0.8,13.75,0.5,0.4091,0.1818,0.0,1.0,0.5,4.5652,42,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
42,asteroids,42,107.63,78.36,0.0,6.566,99.33,4.6,25.0,0,0,0.2083,0.0624,0.3243,0.2,5.2,5,0.8,14.0625,0.5,0.4,0.1778,0.0,1.0,0.5,4.6739,43,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
43,asteroids,42,108.28,78.8,0.0,6.561,99.33,4.58,25.0,0,0,0.2083,0.0624,0.3246,0.2,5.2,5,0.8,14.375,0.5,0.3913,0.1739,0.0,1.0,0.5,4.7826,44,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
44,asteroids,42,108.93,79.27,0.0,6.707,99.29,4.59,25.0,0,0,0.2083,0.0703,0.3655,0.2,5.2,5,0.8,13.0556,0.5,0.4043,0.1915,0.0,1.0,0.5,4.8913,45,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
45,asteroids,42,109.59,79.77,0.0,6.86,99.24,4.6,25.0,0,0,0.2083,0.0782,0.4065,0.2,5.2,5,0.8,12.0,0.5,0.4167,0.2083,0.0,1.0,0.5,5.0,46,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
46,asteroids,42,110.24,80.31,0.0,7.02,99.2,4.62,25.0,0,0,0.2083,0.0861,0.4476,0.2,5.2,5,0.8,11.1364,0.5,0.4286,0.2245,0.0,1.0,0.5,5.1087,47,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
47,asteroids,42,110.89,80.87,0.0,7.186,99.16,4.63,25.0,0,0,0.2083,0.094,0.4887,0.2,5.2,5,0.8,10.4167,0.5,0.44,0.24,0.0,1.0,0.5,5.2174,48,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
48,asteroids,42,111.54,81.44,0.0,7.182,99.16,4.6,25.0,0,0,0.2083,0.094,0.4891,0.2,5.2,5,0.8,10.625,0.5,0.4314,0.2353,0.0,1.0,0.5,5.3261,49,0.0,0.0527,"central_gravity_well,toroidal_wrap,quantized_rotation,resource_thermodynamics,playable_reality",active,0,
0,pressure,42,48.24,45.01,0.0,2.011,99.97,5.0,25.13,0,0,0.2094,0.0081,0.0564,0.2,7.0,5,0.62,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0909,1,0.9785,0.0176,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
1,pressure,42,48.48,45.03,0.0,2.026,99.94,4.99,25.26,0,0,0.2105,0.0096,0.0673,0.2,7.0,5,0.62,2.5,0.5,1.0,0.0,0.0,1.0,0.5,0.1818,2,0.2461,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
2,pressure,42,48.73,45.07,0.0,2.045,99.91,4.99,25.39,0,0,0.2116,0.0144,0.1009,0.2,7.0,5,0.62,2.5,0.5,1.0,0.0,0.0,1.0,0.5,0.2727,3,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
3,pressure,42,48.97,45.11,0.0,2.068,99.88,4.99,25.53,0,0,0.2128,0.0192,0.1346,0.2,7.0,5,0.62,2.5,0.5,1.0,0.0,0.0,1.0,0.5,0.3636,4,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
4,pressure,42,49.22,45.17,0.0,2.094,99.85,4.99,25.68,0,0,0.214,0.024,0.1682,0.2,7.0,5,0.62,2.5,0.5,1.0,0.0,0.0,1.0,0.5,0.4545,5,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
5,pressure,42,49.46,45.21,0.0,2.064,99.85,4.96,25.82,0,0,0.2152,0.023,0.161,0.2,7.0,5,0.62,3.0,0.5,0.8333,0.0,0.0,1.0,0.5,0.5455,6,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
6,pressure,42,49.7,45.26,0.0,2.035,99.85,4.94,25.95,0,0,0.2163,0.0221,0.1544,0.2,7.0,5,0.62,3.5,0.5,0.7143,0.0,0.0,1.0,0.5,0.6364,7,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
7,pressure,42,49.94,45.29,0.0,2.008,99.85,4.92,26.09,0,0,0.2174,0.0212,0.1483,0.2,7.0,5,0.62,4.0,0.5,0.625,0.0,0.0,1.0,0.5,0.7273,8,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
8,pressure,42,50.17,45.32,0.0,1.982,99.85,4.9,26.21,0,0,0.2185,0.0204,0.1427,0.2,7.0,5,0.62,4.5,0.5,0.5556,0.0,0.0,1.0,0.5,0.8182,9,0.2539,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
9,pressure,42,50.41,45.35,0.0,1.958,99.85,4.88,26.35,0,0,0.2196,0.0196,0.1375,0.2,7.0,5,0.62,5.0,0.5,0.5,0.0,0.0,1.0,0.5,0.9091,10,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
10,pressure,42,50.64,45.37,0.0,1.935,99.85,4.86,26.48,0,0,0.2207,0.0196,0.1375,0.2,7.0,5,0.62,5.5,0.5,0.4545,0.0,0.0,1.0,0.5,1.0,11,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
11,pressure,42,50.87,45.38,0.0,1.913,99.85,4.84,26.61,0,0,0.2218,0.0196,0.1375,0.2,7.0,5,0.62,6.0,0.5,0.4167,0.0,0.0,1.0,0.5,1.0909,12,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
12,pressure,42,51.09,45.38,0.0,1.893,99.85,4.82,26.74,0,0,0.2228,0.0196,0.1375,0.2,7.0,5,0.62,6.5,0.5,0.3846,0.0,0.0,1.0,0.5,1.1818,13,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
13,pressure,42,51.32,45.4,0.0,1.907,99.82,4.82,26.88,0,0,0.224,0.0236,0.165,0.2,7.0,5,0.62,5.8333,0.5,0.4286,0.0,0.0,1.0,0.5,1.2727,14,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
14,pressure,42,51.55,45.43,0.0,1.926,99.79,4.82,27.02,0,0,0.2252,0.0275,0.1925,0.2,7.0,5,0.62,5.3571,0.5,0.4667,0.0,0.0,1.0,0.5,1.3636,15,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
15,pressure,42,51.78,45.47,0.0,1.949,99.76,4.81,27.15,0,0,0.2263,0.0314,0.22,0.2,7.0,5,0.62,5.0,0.5,0.5,0.0,0.0,1.0,0.5,1.4545,16,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
16,pressure,42,52.01,45.52,0.0,1.976,99.73,4.81,27.29,0,0,0.2274,0.0361,0.2526,0.2,7.0,5,0.62,4.7222,0.5,0.5294,0.0,0.0,1.0,0.5,1.5455,17,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
17,pressure,42,52.25,45.58,0.0,2.006,99.7,4.81,27.44,0,0,0.2287,0.0408,0.2854,0.2,7.0,5,0.62,4.5,0.5,0.5556,0.0,0.0,1.0,0.5,1.6364,18,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
18,pressure,42,52.48,45.63,0.0,1.975,99.7,4.79,27.57,0,0,0.2297,0.04,0.2801,0.2,7.0,5,0.62,4.75,0.5,0.5263,0.0,0.0,1.0,0.5,1.7273,19,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
19,pressure,42,52.71,45.68,0.0,1.945,99.7,4.77,27.71,0,0,0.2309,0.0393,0.2749,0.2,7.0,5,0.62,5.0,0.5,0.5,0.0,0.0,1.0,0.5,1.8182,20,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
20,pressure,42,52.93,45.72,0.0,1.917,99.7,4.75,27.85,0,0,0.2321,0.0393,0.2749,0.2,7.0,5,0.62,5.25,0.5,0.4762,0.0,0.0,1.0,0.5,1.9091,21,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
21,pressure,42,53.16,45.76,0.0,1.891,99.7,4.73,27.99,0,0,0.2332,0.0393,0.2749,0.2,7.0,5,0.62,5.5,0.5,0.4545,0.0,0.0,1.0,0.5,2.0,22,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
22,pressure,42,53.38,45.79,0.0,1.866,99.7,4.71,28.12,0,0,0.2343,0.0393,0.2749,0.2,7.0,5,0.62,5.75,0.5,0.4348,0.0,0.0,1.0,0.5,2.0909,23,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
23,pressure,42,53.6,45.81,0.0,1.842,99.7,4.69,28.27,0,0,0.2356,0.0393,0.2749,0.2,7.0,5,0.62,6.0,0.5,0.4167,0.0,0.0,1.0,0.5,2.1818,24,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
24,pressure,42,53.82,45.83,0.0,1.82,99.7,4.67,28.4,0,0,0.2367,0.0393,0.2749,0.2,7.0,5,0.62,6.25,0.5,0.4,0.0,0.0,1.0,0.5,2.2727,25,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
25,pressure,42,54.03,45.84,0.0,1.799,99.7,4.65,28.53,0,0,0.2377,0.0393,0.2749,0.2,7.0,5,0.62,6.5,0.5,0.3846,0.0,0.0,1.0,0.5,2.3636,26,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
26,pressure,42,54.25,45.87,0.0,1.817,99.67,4.65,28.66,0,0,0.2388,0.0432,0.3024,0.2,7.0,5,0.62,6.1364,0.5,0.4074,0.0,0.0,1.0,0.5,2.4545,27,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
27,pressure,42,54.47,45.9,0.0,1.84,99.64,4.65,28.8,0,0,0.24,0.0471,0.3299,0.2,7.0,5,0.62,5.8333,0.5,0.4286,0.0,0.0,1.0,0.5,2.5455,28,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
28,pressure,42,54.69,45.94,0.0,1.866,99.61,4.65,28.94,0,0,0.2412,0.0511,0.3574,0.2,7.0,5,0.62,5.5769,0.5,0.4483,0.0,0.0,1.0,0.5,2.6364,29,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
29,pressure,42,54.91,46.0,0.0,1.896,99.58,4.64,29.09,0,0,0.2424,0.055,0.3849,0.2,7.0,5,0.62,5.3571,0.5,0.4667,0.0,0.0,1.0,0.5,2.7273,30,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
30,pressure,42,55.13,46.07,0.0,1.93,99.55,4.64,29.23,0,0,0.2436,0.0589,0.4124,0.2,7.0,5,0.62,5.1667,0.5,0.4839,0.0,0.0,1.0,0.5,2.8182,31,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
31,pressure,42,55.35,46.13,0.0,1.898,99.55,4.62,29.37,0,0,0.2448,0.0589,0.4124,0.2,7.0,5,0.62,5.3333,0.5,0.4688,0.0,0.0,1.0,0.5,2.9091,32,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
32,pressure,42,55.57,46.18,0.0,1.868,99.55,4.6,29.5,0,0,0.2458,0.0589,0.4124,0.2,7.0,5,0.62,5.5,0.5,0.4545,0.0,0.0,1.0,0.5,3.0,33,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
33,pressure,42,55.78,46.23,0.0,1.839,99.55,4.58,29.63,0,0,0.2469,0.0589,0.4124,0.2,7.0,5,0.62,5.6667,0.5,0.4412,0.0,0.0,1.0,0.5,3.0909,34,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
34,pressure,42,56.0,46.27,0.0,1.812,99.55,4.56,29.77,0,0,0.2481,0.0589,0.4124,0.2,7.0,5,0.62,5.8333,0.5,0.4286,0.0,0.0,1.0,0.5,3.1818,35,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
35,pressure,42,56.21,46.3,0.0,1.786,99.55,4.55,29.92,0,0,0.2493,0.0589,0.4124,0.2,7.0,5,0.62,6.0,0.5,0.4167,0.0,0.0,1.0,0.5,3.2727,36,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
36,pressure,42,56.42,46.33,0.0,1.762,99.55,4.53,30.06,0,0,0.2505,0.0589,0.4124,0.2,7.0,5,0.62,6.1667,0.5,0.4054,0.0,0.0,1.0,0.5,3.3636,37,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
37,pressure,42,56.62,46.35,0.0,1.739,99.55,4.51,30.19,0,0,0.2516,0.0589,0.4124,0.2,7.0,5,0.62,6.3333,0.5,0.3947,0.0,0.0,1.0,0.5,3.4545,38,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
38,pressure,42,56.83,46.37,0.0,1.718,99.55,4.49,30.31,0,0,0.2526,0.0589,0.4124,0.2,7.0,5,0.62,6.5,0.5,0.3846,0.0,0.0,1.0,0.5,3.5455,39,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
39,pressure,42,57.03,46.4,0.0,1.712,99.52,4.49,30.46,0,0,0.2538,0.0628,0.4399,0.2,7.0,5,0.62,6.25,0.5,0.4,0.0,0.0,1.0,0.5,3.6364,40,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
40,pressure,42,57.23,46.44,0.0,1.711,99.49,4.49,30.6,0,0,0.255,0.0668,0.4674,0.2,7.0,5,0.62,6.0294,0.5,0.4146,0.0,0.0,1.0,0.5,3.7273,41,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
41,pressure,42,57.43,46.49,0.0,1.716,99.46,4.49,30.75,0,0,0.2562,0.0707,0.4949,0.2,7.0,5,0.62,5.8333,0.5,0.4286,0.0,0.0,1.0,0.5,3.8182,42,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
42,pressure,42,57.63,46.55,0.0,1.725,99.43,4.49,30.9,0,0,0.2575,0.0746,0.5224,0.2,7.0,5,0.62,5.6579,0.5,0.4419,0.0,0.0,1.0,0.5,3.9091,43,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
43,pressure,42,57.83,46.62,0.0,1.739,99.4,4.48,31.04,0,0,0.2587,0.0786,0.5499,0.2,7.0,5,0.62,5.5,0.5,0.4545,0.0,0.0,1.0,0.5,4.0,44,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
44,pressure,42,58.02,46.69,0.0,1.707,99.4,4.47,31.18,0,0,0.2598,0.0786,0.5499,0.2,7.0,5,0.62,5.625,0.5,0.4444,0.0,0.0,1.0,0.5,4.0909,45,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
45,pressure,42,58.21,46.75,0.0,1.675,99.4,4.45,31.32,0,0,0.261,0.0786,0.5499,0.2,7.0,5,0.62,5.75,0.5,0.4348,0.0,0.0,1.0,0.5,4.1818,46,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
46,pressure,42,58.4,46.8,0.0,1.646,99.4,4.43,31.46,0,0,0.2622,0.0786,0.5499,0.2,7.0,5,0.62,5.875,0.5,0.4255,0.0,0.0,1.0,0.5,4.2727,47,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
47,pressure,42,58.59,46.85,0.0,1.618,99.4,4.41,31.59,0,0,0.2633,0.0786,0.5499,0.2,7.0,5,0.62,6.0,0.5,0.4167,0.0,0.0,1.0,0.5,4.3636,48,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
48,pressure,42,58.78,46.89,0.0,1.591,99.4,4.39,31.73,0,0,0.2644,0.0786,0.5499,0.2,7.0,5,0.62,6.125,0.5,0.4082,0.0,0.0,1.0,0.5,4.4545,49,0.0,0.0078,"thrust_gravity_drag,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,0,
0,freescape,42,32.05,16.0,32.04,0.561,99.95,5.01,79.38,0,49.94,0.6615,0.0055,0.0532,0.1429,9.7,7,0.7286,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.073,1,0.9766,0.0156,"cuboid_collision,zone_gravity_friction,hydraulic_height,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,2,
1,freescape,42,32.1,16.0,32.09,0.553,99.9,5.02,78.76,0,49.88,0.6563,0.006,0.0583,0.1429,9.7,7,0.7286,3.5,0.5,1.0,0.0,0.0,1.0,0.5,0.146,2,0.2734,0.0117,"cuboid_collision,zone_gravity_friction,hydraulic_height,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,2,
2,freescape,42,32.14,15.99,32.14,0.553,99.86,5.04,78.15,0,49.82,0.6513,0.009,0.0874,0.1429,9.7,7,0.7286,3.5,0.5,1.0,0.0,0.0,1.0,0.5,0.219,3,0.0,0.0117,"cuboid_collision,zone_gravity_friction,hydraulic_height,graph_pressure_diffusion,hysteresis_failure,resource_thermodynamics,playable_reality",active,2,
